,optimised,unoptimised,percent_change
0,107090,15920,572.68
0,112550,23830,372.3
0,110900,24070,360.74
0,117490,22810,415.08
0,107010,23540,354.59
0,110540,26700,314.01
0,117850,29140,304.43
0,102220,23640,332.4
0,106290,37360,184.5
0,106490,39310,170.9
0,114510,15970,617.03
0,114530,25210,354.3
0,112790,22010,412.45
0,119850,37760,217.4
0,114250,31970,257.37
0,111320,34170,225.78
0,111430,34770,220.48
0,117630,24070,388.7
0,112390,35540,216.24
0,110480,37240,196.67
0,108340,44470,143.62
0,111770,27890,300.75
0,112680,27510,309.6
0,116680,31480,270.65
0,114020,34740,228.21
0,115000,13440,755.65
0,112810,37860,197.97
0,110220,31080,254.63
0,111510,33010,237.81
0,112250,28960,287.6
0,109070,33160,228.92
0,111090,21930,406.57
0,113030,24220,366.68
0,109750,29610,270.65
0,111960,38260,192.63
0,117510,23680,396.24
0,111970,34360,225.87
0,108900,32260,237.57
0,108450,33680,222.0
0,110350,29670,271.92
0,114330,22360,411.31
0,116580,24440,377.0
0,110950,20050,453.37
0,110110,24640,346.88
0,105100,34930,200.89
0,115840,24220,378.28
0,118670,27750,327.64
0,109180,25900,321.54
0,118230,25180,369.54
0,111170,27400,305.73
0,117560,22990,411.35
0,106110,39390,169.38
0,117150,14160,727.33
0,118780,18710,534.85
0,107110,35530,201.46
0,111010,15560,613.43
0,112950,17930,529.95
0,109260,28290,286.21
0,107630,31730,239.21
0,111240,16770,563.33
0,106720,21350,399.86
0,117000,32860,256.06
0,114610,27670,314.2
0,109800,30630,258.47
0,116700,34760,235.73
0,110000,38090,188.79
0,113690,20640,450.82
0,114010,19810,475.52
0,108560,34780,212.13
0,115870,19580,491.78
0,107700,31370,243.32
0,112090,30930,262.4
0,106200,42550,149.59
0,121860,19750,517.01
0,113100,24250,366.39
0,120620,28450,323.97
0,111180,36110,207.89
0,118120,26870,339.6
0,114280,22400,410.18
0,111220,32320,244.12
0,118520,31680,274.12
0,109660,30680,257.43
0,112940,32770,244.64
0,114410,28730,298.22
0,112040,19310,480.22
0,110920,31160,255.97
0,115550,18750,516.27
0,111660,23310,379.02
0,116520,20750,461.54
0,113450,36120,214.09
0,112030,24970,348.66
0,116290,23930,385.96
0,117920,25500,362.43
0,110570,37610,193.99
0,107650,46980,129.14
0,114280,38680,195.45
0,116800,25330,361.11
0,112560,22430,401.83
0,106430,24140,340.89
0,117900,38950,202.7
